PRGT:5018,0,"Scanning CD-ROM devices"
PRGV:11455,11456,65536
PRGV:11468,11456,65536
PRGV:11468,11469,65536
PRGV:11481,11469,65536
PRGV:11481,11481,65536
PRGV:11522,11481,65536
PRGV:11522,11522,65536
PRGV:11535,11522,65536
PRGV:11535,11535,65536
PRGV:11576,11535,65536
PRGV:11576,11576,65536
PRGV:11589,11576,65536
PRGV:11589,11589,65536
PRGV:11601,11589,65536
PRGV:11601,11601,65536
PRGV:11642,11601,65536
PRGV:11642,11642,65536
PRGV:11655,11642,65536
PRGV:11655,11655,65536
PRGV:11696,11655,65536
PRGV:11696,11696,65536
PRGV:11709,11696,65536
PRGV:11709,11709,65536
PRGV:11721,11709,65536
PRGV:11721,11721,65536
PRGV:11762,11721,65536
PRGV:11762,11762,65536
PRGV:11775,11762,65536
PRGV:11775,11775,65536
PRGV:11817,11775,65536
PRGV:11817,11817,65536
PRGV:11830,11817,65536
PRGV:11830,11831,65536
PRGV:11843,11831,65536
PRGV:11843,11843,65536
PRGV:11883,11843,65536
